order_id,order_quantity,seller_id,product_id,product_price,product_name,buyer_id,first_name,last_name,email,address,city,country,cc_number,cc_exp,review,rating,seller_name,seller_country,order_date
130024,9,31528,73906,4462,"Enchanted Train",8087,Riya,Kannan,gussie12@gerhold.info,"53, SheetalGarh,",Jodhpur,India,5467065631287719,06-2025,"Illum deleniti qui quos nobis praesentium.",5,Purdy-Osinski,"South Africa",04-20-2021
130025,7,43084,87914,2816,"Common Blouse",3833,Kim,Robinson,nienow.palma@bednar.org,"701 Beukes Crest Suite 150",Oberholzerport,"South Africa",341527482825023,02-2025,"Dolores non quia incidunt.",2,Gusikowski-Willms,Uganda,06-29-2022
130026,5,45227,100088,4802,"Insignificant Eraser",18840,Vusi,Otto,edwin.oconner@nienow.com,"371 Malatji Glens Suite 641","Le Rouxtown","South Africa",4485942716770366,01-2027,"Molestiae reprehenderit tempore distinctio dolore aut.",5,Ferry-Swaniawski,India,09-22-2022
130027,8,35290,128485,17266,"Legendary Moccasin",20658,Sarah,Schulist,dixie85@kertzmann.net,"64/38 Cummerata Hill","San Fernando",Philippines,6011527722032287,04-2024,"Nulla eos omnis qui exercitationem rem aspernatur et.",5,"Mohr, Huel and Toy","New Zealand",11-01-2022
130028,6,31810,126785,12008,"Cacophonous Lipstick",21266,Makenzie,Crona,wprohaska@pagac.info,"97 Tuen Sip North Square","Hong Kong","Hong Kong",4916992993242992,10-2024,"Voluptatem sunt atque qui eveniet pariatur.",2,"Zboncak Ltd",Uganda,09-21-2023
130029,6,40830,52171,15331,"Plain-Jane First aid kit",29662,Ruby,Smith,schaden.roberta@purdy.info,"717 Gray Square","New Eileen","United Kingdom",4556930975618636,04-2026,"Autem culpa vel libero quas.",4,"Kerluke LLC",Philippines,05-06-2022
130030,9,40342,118788,4793,"Breathtaking Outdoor blanket",12555,Toby,Goyette,elissa.gutkowski@gmail.com,"8 Jane Avenue",Domenicaville,"New Zealand",2333252956372545,04-2024,"Occaecati repellat porro aperiam quidem modi.",5,"Gorczany, Watsica and Spinka",Nigeria,03-06-2021
130031,1,40278,52723,15578,"Alluring Calcium",26232,Vergie,Lemke,cjerde@yahoo.com,"1 Legros Way",Nicolaston,"New Zealand",5189170350789445,02-2025,"Ea dolorem hic odio.",4,"Ritchie, McClure and Nader","South Africa",02-07-2023
130032,9,34438,79755,19433,"Average Cotton swabs",24015,Jane,Doe,cvon@hotmail.com,"Jalan Doe Park",JaneVille,Singapore,5184602837690197,03-2027,"Quos quibusdam qui assumenda laudantium.",5,"Lind, Leuschke and Auer",India,09-05-2023
130033,6,37168,55833,15110,"Mysterious Amulet",16196,Augustina,Bello,sharon.fay@hotmail.com,"94 Segunmaru Street",JadesolaVille,Nigeria,2409676610458655,04-2026,"Eos iste facere praesentium delectus distinctio et est.",3.5,"Ledner, Ondricka and Hauck","United States",09-18-2023
130034,2,32113,60888,2916,"Sensuous Jumper cables",29808,John,Doe,zoe81@hotmail.com,"Doe Quay Hill",JaneVille,Singapore,5502505744632845,08-2025,"Rerum iusto eius placeat cupiditate magnam repudiandae.",4,"Beer Inc","Hong Kong",03-17-2021
130035,10,38550,54451,13064,"Insipid Earbuds",29173,Robbie,Dickinson,williamson.arnaldo@corwin.com,"8908 Beatty Terrace","East Minerva","United States",2499343038118905,04-2024,"Iusto ut dicta et recusandae molestiae voluptas in.",2,"Dibbert Group","Hong Kong",10-12-2022
130036,6,31786,61215,10349,"Turbulent Goggles",26079,Eli,Ernser,hhartmann@gusikowski.com,"63 Hing Square","Hong Kong","Hong Kong",4024007190189729,12-2026,"Quia ullam nihil quo necessitatibus ut molestiae.",1.5,"Heaney, Schneider and Murazik","United States",04-04-2020
130037,6,37610,55391,13209,"Enraptured Harness",26996,Vanessa,Glover,marjorie61@hotmail.com,"22645 Ursula Passage","West Mazieville","United States",3528617485458663,04-2026,"Nulla non vitae esse voluptatum.",3,"Schmidt, Kreiger and Mraz","Hong Kong",07-11-2023
130038,7,31755,91999,13573,"Tranquil Carrier",4107,Jason,Lloyd,lkuphal@yahoo.com,"685 Graham Trail","New Courtneyville","United Kingdom",2488766741625837,10-2024,"Velit ut dolorem alias nihil facilis fugit excepturi distinctio.",1,Bruen-DuBuque,Philippines,11-05-2022
130039,7,32833,79267,19568,"Lackluster Portable toilet",2968,Mohan,Dua,sbrekke@gmail.com,"34, Aundh,",Bengaluru,India,5488435411963778,12-2025,"Quo autem vel asperiores est mollitia quidem.",2.5,Hand-Maggio,Nigeria,11-24-2022
130040,2,41992,85532,4664,"Peculiar Locket",15940,Natasha,Lebsack,rath.winifred@yahoo.com,"68586 Oberbrunner Corners","North Jackson","United States",4716444439837573,04-2026,"Tempore quia dolorem non cupiditate.",5,Grant-Ortiz,"Hong Kong",01-17-2022
130041,10,31988,95841,14787,"Monotonous Racket",5482,Ikenna,Onose,justen.collins@yahoo.com,"13 Uchechi Street",FunmiladeVille,Nigeria,4485572678751185,12-2025,"Vel sit maxime quaerat corrupti et quisquam repellendus laboriosam.",5,"Hartmann, McCullough and Grady",Nigeria,05-26-2021
130042,10,34613,58388,3427,"Hypnotic Conditioner",18477,Terrell,Berge,rgorczany@yahoo.com,"54 Ernser Place",Odessaston,"New Zealand",5261307127912584,01-2025,"Eveniet non eum velit assumenda.",1.5,"Schinner Ltd","Hong Kong",08-22-2019
130043,6,41399,91500,4336,"Tedious Brake pads",14939,Takalani,Masango,bdaugherty@gmail.com,"80572 Malan Pike","East Anita","South Africa",2559798355876392,09-2026,"Dolor et beatae odit corrupti quis rem exercitationem.",2.5,"Bogisich, Bayer and Veum",India,08-01-2019
130044,4,33220,115805,14558,"Gorgeous Cotton swabs",20440,Raquel,Jacobs,renner.solon@hickle.com,"Block 29, Seuk Hat Yap Estate","New Territories","Hong Kong",5280144099014173,09-2024,"Ipsam dolores architecto vel libero debitis neque.",1,Altenwerth-Rippin,India,10-11-2022
130045,5,33926,115573,12047,"Entrancing Tongs",28934,Bharat,Soman,rodolfo94@ruecker.com,"18, Rakhi Society, RomaGunj",Pune,India,4532047593397250,03-2025,"Aut dolorem numquam enim.",5,Doyle-Maggio,Uganda,06-26-2020
130046,3,33214,80539,18878,"Tiresome Goggles",20514,Serena,Kemmer,heath81@hotmail.com,"7 Gutmann Lane",Dorthaville,"New Zealand",5380396160266418,12-2024,"Voluptatem vero non qui at dolorum sit cupiditate.",4.5,Auer-Macejkovic,"Hong Kong",09-12-2023
130047,3,37695,72499,14221,"Uncanny Shampoo",1184,Tevin,Cormier,heller.xander@monahan.com,"603 Delpha Lock Suite 286",Tobyburgh,"United States",2402378931040414,09-2025,"Natus eligendi voluptas quia aperiam ut accusamus aut dolore.",5,Wunsch-King,Nigeria,12-03-2020
130048,5,42486,108603,13225,"Awe-inspiring Colander",14854,Alanna,Hudson,collins.angelita@beahan.com,"7 Dean Close",Novellaston,"New Zealand",4553974479804162,09-2025,"Neque itaque quisquam dolor doloremque sed laboriosam.",1,Harber-Ziemann,"New Zealand",05-22-2020
130049,6,44718,48283,14471,"Transcendent Toy gun",6828,Andrew,Marais,schumm.uriah@hahn.com,"3244 Portia Key","South Edwin","South Africa",2611942658550827,11-2026,"Et facilis eveniet dolorem doloremque minus voluptatem.",1,"Schmidt, Kshlerin and Carroll",Nigeria,07-01-2021
130050,8,40296,122378,4427,"Mediocre Charcoal",23515,Earnest,Lang,nicolette.gerhold@gmail.com,"Block 66, Ngau Lei Shuen Court",Kowloon,"Hong Kong",4539914540418062,03-2027,"Repellat ea vitae nulla id quo sunt.",1,Ward-Gutkowski,"Hong Kong",07-04-2022
